sensor ts value
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-02 03:42:59" 740
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-03 03:42:23" 315
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-04 03:38:59" 429
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-05 03:41:59" 525
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-06 03:37:10" 455
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-07 03:42:43" 395
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-08 03:42:11" 370
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-09 03:43:21" 615
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-10 03:39:56" 640
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-11 03:41:53" 385
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-12 03:39:59" 530
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-13 03:42:04" 475
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-14 03:42:10" 429
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-15 03:40:35" 335
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-16 03:42:20" 429
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-17 03:41:45" 380
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-18 03:41:53" 475
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-19 03:43:48" 295
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-20 03:42:52" 480
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-21 03:41:43" 580
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-22 03:40:39" 475
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-24 03:42:13" 425
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-25 03:42:55" 345
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-26 03:44:04" 365
/qct/qexa-20/cocos/calibration/QB1/error_0_1 "2025-08-27 03:42:36" 425
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-02 03:42:59" 2480
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-03 03:42:23" 2085
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-04 03:38:59" 2550
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-05 03:41:59" 2470
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-06 03:37:10" 2795
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-07 03:42:43" 2685
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-08 03:42:11" 2705
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-09 03:43:21" 2560
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-10 03:39:56" 2630
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-11 03:41:53" 2510
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-12 03:39:59" 2605
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-13 03:42:04" 2625
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-14 03:42:10" 2585
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-15 03:40:35" 2690
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-16 03:42:20" 2725
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-17 03:41:45" 2320
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-18 03:41:53" 2575
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-19 03:43:48" 1825
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-20 03:42:52" 2455
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-21 03:41:43" 3325
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-22 03:40:39" 2795
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-24 03:42:13" 2640
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-25 03:42:55" 2075
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-26 03:44:04" 2210
/qct/qexa-20/cocos/calibration/QB1/error_1_0 "2025-08-27 03:42:36" 2620
