fidelity_weight,policy,device,count,mean_fidelity,median_fidelity,stdev,min,max
0.00,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.00,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.00,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.00,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.00,gt_weighted,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.00,gt_weighted,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.00,gt_weighted,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.00,gt_weighted,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.00,gnn,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.00,gnn,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.00,gnn,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.00,gnn,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.00,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.00,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.00,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.00,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.30,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.30,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.30,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.30,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.30,gt_weighted,EQE1_Top,1710,0.493376,0.490540,0.290161,0.000000,0.975137
0.30,gt_weighted,EQE1_Bottom,1772,0.526053,0.535647,0.284258,0.000000,0.966214
0.30,gt_weighted,QExa20,1635,0.067525,0.000856,0.144863,0.000000,0.865797
0.30,gt_weighted,OVERALL,5117,0.368623,0.340058,0.324898,0.000000,0.975137
0.30,gnn,EQE1_Top,1721,0.514540,0.515331,0.291299,0.000000,0.975137
0.30,gnn,EQE1_Bottom,1931,0.426693,0.451412,0.330480,0.000000,0.969820
0.30,gnn,QExa20,1449,0.115102,0.023699,0.169216,0.000000,0.786623
0.30,gnn,OVERALL,5101,0.367820,0.335004,0.323730,0.000000,0.975137
0.30,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.30,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.30,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.30,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.50,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.50,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.50,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.50,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.50,gt_weighted,EQE1_Top,751,0.492950,0.431418,0.293386,0.000000,0.975137
0.50,gt_weighted,EQE1_Bottom,2592,0.558807,0.577076,0.262811,0.000000,0.974345
0.50,gt_weighted,QExa20,1774,0.058015,0.001313,0.122969,0.000000,0.741795
0.50,gt_weighted,OVERALL,5117,0.375523,0.346704,0.326864,0.000000,0.975137
0.50,gnn,EQE1_Top,615,0.384726,0.375650,0.251747,0.000000,0.964100
0.50,gnn,EQE1_Bottom,3164,0.496311,0.536660,0.319476,0.000000,0.974345
0.50,gnn,QExa20,1322,0.079606,0.015578,0.127119,0.000000,0.594576
0.50,gnn,OVERALL,5101,0.374863,0.345423,0.326919,0.000000,0.974345
0.50,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.50,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.50,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.50,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.70,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.70,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.70,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.70,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.70,gt_weighted,EQE1_Top,490,0.417983,0.393857,0.259814,0.000000,0.975137
0.70,gt_weighted,EQE1_Bottom,2830,0.569307,0.584298,0.265756,0.000000,0.974345
0.70,gt_weighted,QExa20,1797,0.059738,0.001426,0.124612,0.000000,0.741795
0.70,gt_weighted,OVERALL,5117,0.375865,0.346704,0.327001,0.000000,0.975137
0.70,gnn,EQE1_Top,445,0.335065,0.342009,0.233378,0.000000,0.954332
0.70,gnn,EQE1_Bottom,3356,0.494271,0.521779,0.317646,0.000000,0.974345
0.70,gnn,QExa20,1300,0.080501,0.016043,0.127869,0.000000,0.594576
0.70,gnn,OVERALL,5101,0.374932,0.345423,0.326940,0.000000,0.974345
0.70,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.70,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.70,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.70,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
1.00,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
1.00,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
1.00,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
1.00,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
1.00,gt_weighted,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
1.00,gt_weighted,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
1.00,gt_weighted,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
1.00,gt_weighted,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
1.00,gnn,EQE1_Top,435,0.334166,0.341481,0.235259,0.000000,0.954332
1.00,gnn,EQE1_Bottom,3366,0.493851,0.521351,0.317327,0.000000,0.974345
1.00,gnn,QExa20,1300,0.080501,0.016043,0.127869,0.000000,0.594576
1.00,gnn,OVERALL,5101,0.374890,0.345358,0.326936,0.000000,0.974345
1.00,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
1.00,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
1.00,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
1.00,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
