fidelity_weight,baseline,agreement_rate,regret_mean,regret_median,regret_max,zero_regret_pct
0.00,oracle,0.332030,0.032225,0.003961,0.285995,0.332030
0.00,gt_weighted,1.000000,0.000000,0.000000,0.000000,1.000000
0.30,oracle,0.585964,0.009224,0.000000,0.223178,0.585964
0.30,gt_weighted,0.643011,0.001959,0.000000,0.197096,0.643011
0.50,oracle,0.794158,0.002182,0.000000,0.223178,0.794158
0.50,gt_weighted,0.778671,0.001838,0.000000,0.223178,0.778671
0.70,oracle,0.805332,0.002113,0.000000,0.330645,0.805332
0.70,gt_weighted,0.803176,0.002112,0.000000,0.330645,0.803176
1.00,oracle,0.803764,0.002154,0.000000,0.330645,0.803764
1.00,gt_weighted,0.803764,0.002154,0.000000,0.330645,0.803764
