fidelity_weight,policy,device,count,mean_fidelity,median_fidelity,stdev,min,max
0.00,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.00,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.00,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.00,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.00,gt_weighted,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.00,gt_weighted,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.00,gt_weighted,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.00,gt_weighted,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.00,gnn,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.00,gnn,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.00,gnn,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.00,gnn,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.00,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.00,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.00,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.00,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.30,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.30,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.30,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.30,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.30,gt_weighted,EQE1_Top,1687,0.378224,0.363694,0.321583,0.000000,0.975137
0.30,gt_weighted,EQE1_Bottom,1762,0.470398,0.504857,0.298339,0.000000,0.969860
0.30,gt_weighted,QExa20,1668,0.248468,0.094227,0.313019,0.000000,0.964769
0.30,gt_weighted,OVERALL,5117,0.367667,0.337522,0.323957,0.000000,0.975137
0.30,gnn,EQE1_Top,1668,0.365757,0.362381,0.320090,0.000000,0.973671
0.30,gnn,EQE1_Bottom,1766,0.466532,0.504716,0.303369,0.000000,0.973445
0.30,gnn,QExa20,1667,0.258582,0.120355,0.313133,0.000000,0.964769
0.30,gnn,OVERALL,5101,0.365621,0.333685,0.323484,0.000000,0.973671
0.30,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.30,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.30,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.30,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.50,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.50,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.50,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.50,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.50,gt_weighted,EQE1_Top,1687,0.373331,0.339630,0.333764,0.000000,0.975137
0.50,gt_weighted,EQE1_Bottom,1822,0.493725,0.537007,0.282807,0.000000,0.969820
0.50,gt_weighted,QExa20,1608,0.226750,0.074395,0.300828,0.000000,0.964769
0.50,gt_weighted,OVERALL,5117,0.370137,0.340097,0.324825,0.000000,0.975137
0.50,gnn,EQE1_Top,1659,0.355401,0.320701,0.332142,0.000000,0.975137
0.50,gnn,EQE1_Bottom,1833,0.498665,0.551741,0.287602,0.000000,0.969820
0.50,gnn,QExa20,1609,0.234146,0.095185,0.297889,0.000000,0.963661
0.50,gnn,OVERALL,5101,0.368635,0.338445,0.324647,0.000000,0.975137
0.50,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.50,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.50,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.50,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.70,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.70,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.70,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.70,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.70,gt_weighted,EQE1_Top,1689,0.390941,0.341160,0.359295,0.000000,0.975137
0.70,gt_weighted,EQE1_Bottom,1953,0.513870,0.550075,0.265756,0.000000,0.969820
0.70,gt_weighted,QExa20,1475,0.164761,0.042048,0.239929,0.000000,0.964769
0.70,gt_weighted,OVERALL,5117,0.372662,0.344772,0.326053,0.000000,0.975137
0.70,gnn,EQE1_Top,1647,0.380783,0.331514,0.360395,0.000000,0.975137
0.70,gnn,EQE1_Bottom,1976,0.512090,0.552125,0.269947,0.000000,0.969820
0.70,gnn,QExa20,1478,0.172933,0.065103,0.240525,0.000000,0.963661
0.70,gnn,OVERALL,5101,0.371424,0.342009,0.325587,0.000000,0.975137
0.70,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.70,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.70,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.70,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
1.00,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
1.00,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
1.00,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
1.00,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
1.00,gt_weighted,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
1.00,gt_weighted,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
1.00,gt_weighted,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
1.00,gt_weighted,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
1.00,gnn,EQE1_Top,435,0.334166,0.341481,0.235259,0.000000,0.954332
1.00,gnn,EQE1_Bottom,3366,0.493851,0.521351,0.317327,0.000000,0.974345
1.00,gnn,QExa20,1300,0.080501,0.016043,0.127869,0.000000,0.594576
1.00,gnn,OVERALL,5101,0.374890,0.345358,0.326936,0.000000,0.974345
1.00,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
1.00,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
1.00,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
1.00,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
