fidelity_weight,baseline,agreement_rate,regret_mean,regret_median,regret_max,zero_regret_pct
0.00,oracle,0.332030,0.032225,0.003961,0.285995,0.332030
0.00,gt_weighted,1.000000,0.000000,0.000000,0.000000,1.000000
0.30,oracle,0.525503,0.011348,0.000000,0.227534,0.525699
0.30,gt_weighted,0.687903,0.003148,0.000000,0.227534,0.689662
0.50,oracle,0.571233,0.008378,0.000000,0.223178,0.571429
0.50,gt_weighted,0.728161,0.002650,0.000000,0.223178,0.732070
0.70,oracle,0.614423,0.005606,0.000000,0.223178,0.614618
0.70,gt_weighted,0.775064,0.002402,0.000000,0.223178,0.780340
1.00,oracle,0.801446,0.002148,0.000000,0.330645,0.801446
1.00,gt_weighted,0.801446,0.002148,0.000000,0.330645,0.801446
