fidelity_weight,baseline,agreement_rate,regret_mean,regret_median,regret_max,zero_regret_pct
0.00,oracle,0.332030,0.032225,0.003961,0.285995,0.332030
0.00,gt_weighted,1.000000,0.000000,0.000000,0.000000,1.000000
0.10,oracle,0.475669,0.015532,0.000000,0.264974,0.475865
0.10,gt_weighted,0.634747,0.003438,0.000000,0.264974,0.641587
0.20,oracle,0.503029,0.012976,0.000000,0.228043,0.503225
0.20,gt_weighted,0.670119,0.003189,0.000000,0.227199,0.675982
0.30,oracle,0.525503,0.011348,0.000000,0.227534,0.525699
0.30,gt_weighted,0.687903,0.003148,0.000000,0.227534,0.689662
0.40,oracle,0.548368,0.009673,0.000000,0.228043,0.548564
0.40,gt_weighted,0.709986,0.002820,0.000000,0.223178,0.714677
0.50,oracle,0.571233,0.008378,0.000000,0.223178,0.571429
0.50,gt_weighted,0.728161,0.002650,0.000000,0.223178,0.732070
0.60,oracle,0.592535,0.006950,0.000000,0.223178,0.592730
0.60,gt_weighted,0.746922,0.002523,0.000000,0.223178,0.751612
0.70,oracle,0.614423,0.005606,0.000000,0.223178,0.614618
0.70,gt_weighted,0.775064,0.002402,0.000000,0.223178,0.780340
0.80,oracle,0.653899,0.004286,0.000000,0.223178,0.654094
0.80,gt_weighted,0.791284,0.002236,0.000000,0.223178,0.796756
0.90,oracle,0.705882,0.003011,0.000000,0.223178,0.705882
0.90,gt_weighted,0.793629,0.002022,0.000000,0.223178,0.799492
1.00,oracle,0.801446,0.002148,0.000000,0.330645,0.801446
1.00,gt_weighted,0.801446,0.002148,0.000000,0.330645,0.801446
