fidelity_weight,policy,device,count,mean_fidelity,median_fidelity,stdev,min,max
0.00,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.00,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.00,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.00,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.00,gt_weighted,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.00,gt_weighted,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.00,gt_weighted,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.00,gt_weighted,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.00,gnn,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.00,gnn,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.00,gnn,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.00,gnn,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.00,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.00,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.00,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.00,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.10,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.10,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.10,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.10,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.10,gt_weighted,EQE1_Top,1697,0.388313,0.381522,0.326587,0.000000,0.975137
0.10,gt_weighted,EQE1_Bottom,1723,0.435888,0.459260,0.309014,0.000000,0.970424
0.10,gt_weighted,QExa20,1697,0.266009,0.138367,0.309071,0.000000,0.964769
0.10,gt_weighted,OVERALL,5117,0.363772,0.330583,0.322937,0.000000,0.975137
0.10,gnn,EQE1_Top,1697,0.383047,0.382624,0.324355,0.000000,0.973671
0.10,gnn,EQE1_Bottom,1722,0.428652,0.446854,0.312721,0.000000,0.969860
0.10,gnn,QExa20,1698,0.268351,0.142427,0.309571,0.000000,0.964769
0.10,gnn,OVERALL,5117,0.360334,0.322109,0.322666,0.000000,0.973671
0.10,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.10,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.10,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.10,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.20,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.20,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.20,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.20,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.20,gt_weighted,EQE1_Top,1690,0.385332,0.375335,0.322820,0.000000,0.975137
0.20,gt_weighted,EQE1_Bottom,1742,0.451675,0.488044,0.304551,0.000000,0.969860
0.20,gt_weighted,QExa20,1685,0.258278,0.115823,0.312356,0.000000,0.964769
0.20,gt_weighted,OVERALL,5117,0.366079,0.335004,0.323309,0.000000,0.975137
0.20,gnn,EQE1_Top,1684,0.376628,0.373513,0.319326,0.000000,0.973671
0.20,gnn,EQE1_Bottom,1744,0.445540,0.475100,0.310007,0.000000,0.970733
0.20,gnn,QExa20,1689,0.263850,0.128029,0.313755,0.000000,0.964769
0.20,gnn,OVERALL,5117,0.362890,0.327990,0.323105,0.000000,0.973671
0.20,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.20,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.20,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.20,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.30,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.30,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.30,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.30,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.30,gt_weighted,EQE1_Top,1687,0.378224,0.363694,0.321583,0.000000,0.975137
0.30,gt_weighted,EQE1_Bottom,1762,0.470398,0.504857,0.298339,0.000000,0.969860
0.30,gt_weighted,QExa20,1668,0.248468,0.094227,0.313019,0.000000,0.964769
0.30,gt_weighted,OVERALL,5117,0.367667,0.337522,0.323957,0.000000,0.975137
0.30,gnn,EQE1_Top,1673,0.363738,0.360348,0.320264,0.000000,0.973671
0.30,gnn,EQE1_Bottom,1771,0.466359,0.504857,0.303859,0.000000,0.973445
0.30,gnn,QExa20,1673,0.257492,0.119138,0.312601,0.000000,0.964769
0.30,gnn,OVERALL,5117,0.364518,0.332302,0.323632,0.000000,0.973671
0.30,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.30,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.30,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.30,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.40,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.40,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.40,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.40,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.40,gt_weighted,EQE1_Top,1683,0.370726,0.340097,0.324685,0.000000,0.975137
0.40,gt_weighted,EQE1_Bottom,1790,0.484133,0.524553,0.290840,0.000000,0.970424
0.40,gt_weighted,QExa20,1644,0.241917,0.086149,0.311511,0.000000,0.964769
0.40,gt_weighted,OVERALL,5117,0.369013,0.339244,0.324394,0.000000,0.975137
0.40,gnn,EQE1_Top,1667,0.358577,0.340768,0.323828,0.000000,0.973671
0.40,gnn,EQE1_Bottom,1801,0.484075,0.532267,0.296817,0.000000,0.969820
0.40,gnn,QExa20,1649,0.245143,0.099168,0.307255,0.000000,0.964769
0.40,gnn,OVERALL,5117,0.366193,0.335234,0.324330,0.000000,0.973671
0.40,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.40,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.40,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.40,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.50,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.50,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.50,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.50,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.50,gt_weighted,EQE1_Top,1687,0.373331,0.339630,0.333764,0.000000,0.975137
0.50,gt_weighted,EQE1_Bottom,1822,0.493725,0.537007,0.282807,0.000000,0.969820
0.50,gt_weighted,QExa20,1608,0.226750,0.074395,0.300828,0.000000,0.964769
0.50,gt_weighted,OVERALL,5117,0.370137,0.340097,0.324825,0.000000,0.975137
0.50,gnn,EQE1_Top,1664,0.354132,0.311431,0.332480,0.000000,0.975137
0.50,gnn,EQE1_Bottom,1839,0.497453,0.550670,0.288297,0.000000,0.969820
0.50,gnn,QExa20,1614,0.233173,0.092471,0.297384,0.000000,0.963661
0.50,gnn,OVERALL,5117,0.367487,0.336562,0.324803,0.000000,0.975137
0.50,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.50,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.50,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.50,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.60,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.60,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.60,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.60,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.60,gt_weighted,EQE1_Top,1691,0.386689,0.342609,0.349411,0.000000,0.975137
0.60,gt_weighted,EQE1_Bottom,1873,0.503161,0.541596,0.272625,0.000000,0.969820
0.60,gt_weighted,QExa20,1553,0.195970,0.062940,0.273107,0.000000,0.964769
0.60,gt_weighted,OVERALL,5117,0.371439,0.342609,0.325467,0.000000,0.975137
0.60,gnn,EQE1_Top,1662,0.366839,0.310426,0.348508,0.000000,0.975137
0.60,gnn,EQE1_Bottom,1894,0.507838,0.555508,0.277904,0.000000,0.969820
0.60,gnn,QExa20,1561,0.202570,0.074416,0.270556,0.000000,0.963661
0.60,gnn,OVERALL,5117,0.368916,0.337843,0.325454,0.000000,0.975137
0.60,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.60,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.60,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.60,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.70,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.70,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.70,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.70,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.70,gt_weighted,EQE1_Top,1689,0.390941,0.341160,0.359295,0.000000,0.975137
0.70,gt_weighted,EQE1_Bottom,1953,0.513870,0.550075,0.265756,0.000000,0.969820
0.70,gt_weighted,QExa20,1475,0.164761,0.042048,0.239929,0.000000,0.964769
0.70,gt_weighted,OVERALL,5117,0.372662,0.344772,0.326053,0.000000,0.975137
0.70,gnn,EQE1_Top,1652,0.378899,0.320028,0.360674,0.000000,0.975137
0.70,gnn,EQE1_Bottom,1982,0.511454,0.551206,0.270155,0.000000,0.969820
0.70,gnn,QExa20,1483,0.171932,0.064432,0.240183,0.000000,0.963661
0.70,gnn,OVERALL,5117,0.370260,0.341160,0.325732,0.000000,0.975137
0.70,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.70,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.70,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.70,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.80,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.80,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.80,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.80,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.80,gt_weighted,EQE1_Top,1657,0.390218,0.305198,0.370685,0.000000,0.975137
0.80,gt_weighted,EQE1_Bottom,2076,0.519041,0.548261,0.257003,0.000000,0.966180
0.80,gt_weighted,QExa20,1384,0.136340,0.033197,0.204754,0.000000,0.964769
0.80,gt_weighted,OVERALL,5117,0.373816,0.345423,0.326346,0.000000,0.975137
0.80,gnn,EQE1_Top,1607,0.381894,0.310198,0.369587,0.000000,0.975137
0.80,gnn,EQE1_Bottom,2130,0.520695,0.553861,0.263597,0.000000,0.966214
0.80,gnn,QExa20,1380,0.129412,0.039480,0.187640,0.000000,0.961746
0.80,gnn,OVERALL,5117,0.371580,0.341492,0.326183,0.000000,0.975137
0.80,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.80,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.80,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.80,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
0.90,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
0.90,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
0.90,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
0.90,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
0.90,gt_weighted,EQE1_Top,1538,0.371452,0.260346,0.375078,0.000000,0.975137
0.90,gt_weighted,EQE1_Bottom,2288,0.526806,0.549063,0.254763,0.000000,0.966180
0.90,gt_weighted,QExa20,1291,0.109696,0.022792,0.169870,0.000000,0.964769
0.90,gt_weighted,OVERALL,5117,0.374876,0.345555,0.326539,0.000000,0.975137
0.90,gnn,EQE1_Top,1434,0.349565,0.235827,0.366154,0.000000,0.973671
0.90,gnn,EQE1_Bottom,2385,0.533935,0.561060,0.263939,0.000000,0.973445
0.90,gnn,QExa20,1298,0.102608,0.028744,0.151760,0.000000,0.931183
0.90,gnn,OVERALL,5117,0.372854,0.344038,0.326546,0.000000,0.973671
0.90,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
0.90,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
0.90,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
0.90,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
1.00,oracle,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
1.00,oracle,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
1.00,oracle,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
1.00,oracle,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
1.00,gt_weighted,EQE1_Top,474,0.414219,0.384316,0.256085,0.000000,0.975137
1.00,gt_weighted,EQE1_Bottom,2846,0.569172,0.582351,0.266100,0.000000,0.974345
1.00,gt_weighted,QExa20,1797,0.059601,0.001426,0.124400,0.000000,0.741795
1.00,gt_weighted,OVERALL,5117,0.375866,0.346704,0.327001,0.000000,0.975137
1.00,gnn,EQE1_Top,442,0.328874,0.340077,0.237092,0.000000,0.954332
1.00,gnn,EQE1_Bottom,3375,0.492534,0.519775,0.317925,0.000000,0.974345
1.00,gnn,QExa20,1300,0.080501,0.016043,0.127869,0.000000,0.594576
1.00,gnn,OVERALL,5117,0.373718,0.344576,0.327094,0.000000,0.974345
1.00,round_robin,EQE1_Top,1706,0.345830,0.288042,0.321084,0.000000,0.973671
1.00,round_robin,EQE1_Bottom,1706,0.365402,0.332606,0.331428,0.000000,0.971458
1.00,round_robin,QExa20,1705,0.319675,0.254052,0.305093,0.000000,0.964769
1.00,round_robin,OVERALL,5117,0.343640,0.288211,0.319875,0.000000,0.973671
